timestamp,p_x,p_y,p_z,q_x,q_y,q_z,q_w
1403636624662694912.00000,0.0434604917566377,0.0113116785388413,0.0437912978184252,-0.8071080393825013,0.0214634415106071,-0.5899564347876969,0.0082060036098857
1403636624720262144.00000,-0.0245902892531174,-0.0112933803337426,0.0237767716344041,0.8095760279054158,-0.028115056679508,0.586339025482833,0.0016570529983109
1403636624770061312.00000,-0.0332109015791634,-0.0170644454866172,0.0240416742338619,0.8091448486298355,-0.0261945169036287,0.5870001387628472,0.0054127915518875
1403636624819860480.00000,-0.0380053697828105,-0.0260244683138466,0.0256400233880461,0.8115149577538733,-0.0207375015545118,0.5838808876379595,0.0098253967916918
1403636624869619968.00000,-0.0430313509530337,-0.034414725125519,0.0309678885794176,0.8140121711312855,-0.0153311989517746,0.5804219665417614,0.0161083936078802
1403636624919436544.00000,-0.0478435221112059,-0.0423522328636818,0.0348046200237148,0.8179353371567135,-0.0102846707406026,0.5747389906743675,0.0234755697843611
1403636624969173248.00000,-0.0533990338844521,-0.0493256842455856,0.0406326227204488,0.8220838940407287,-0.0059328576803679,0.5685537977319232,0.0298236725301247
1403636625018710528.00000,-0.058042213952077,-0.0551971233468366,0.0488481044733593,0.8253843369385199,-0.0032079106326652,0.5635518320991456,0.0337600086437968
1403636625068707072.00000,-0.0624119340745737,-0.0593219526036801,0.0588902720278497,0.8292822727505448,-0.0017156029506744,0.5576534741574477,0.0362018171965923
1403636625118857216.00000,-0.0652531530961389,-0.0621658668216882,0.0708061216407537,0.8323247005027777,-0.0018413695930026,0.5531124393437096,0.0360393081819649
1403636625169080832.00000,-0.0661054267059776,-0.0642164508947841,0.0861353571934716,0.8330823308616099,-0.0050974664928712,0.5522417669900788,0.0312550257273444
1403636625219054336.00000,-0.0670918112927198,-0.0654543933564178,0.1001347266966368,0.83244022138919,-0.0076201702077657,0.5533672814405417,0.0277463988767056
1403636625269017344.00000,-0.0669122726282371,-0.0654906282806704,0.1147904491013364,0.8303176574339851,-0.0097617112473077,0.5566403253909915,0.0250767800061082
1403636625317629184.00000,-0.0640834229045205,-0.0657349753931183,0.128712166444166,0.8278179393021475,-0.0043004720295791,0.5606234546324413,0.0200076841702345
1403636625367497472.00000,-0.0628517709206843,-0.063425798055984,0.1379747843302131,0.82719910807921,-0.0039977648346414,0.5615956841862103,0.0183286926077356
1403636625417331968.00000,-0.0617032504769473,-0.0603043714169215,0.1424433503401371,0.8278144267655566,-0.0038490960741169,0.5607051144729498,0.0178391115838665
1403636625467225088.00000,-0.0596181833020864,-0.0584712408271551,0.1416682186382986,0.8294129046318197,-0.0037377689220867,0.5583365203161005,0.0179051052775968
1403636625517249792.00000,-0.0560773006529497,-0.0570625216261093,0.1385272903673766,0.830196214438898,-0.0039202082901205,0.5571663407366223,0.0180151671778908
1403636625567307264.00000,-0.0495906950513665,-0.0557577997241227,0.13606204528822,0.8305616443879446,-0.0032738001349579,0.5566103429727712,0.0184814285163227
1403636625617372160.00000,-0.0436831453821303,-0.0535111913407207,0.1368240265139461,0.830817137806373,-0.0025086084023105,0.5562207854043388,0.0188421945454998
1403636625667515648.00000,-0.0365054268001586,-0.051238386742676,0.14024265365172,0.8298487924116701,-0.0025777272482512,0.5576559792852597,0.0190826052342098
1403636625717590528.00000,-0.0251872385960657,-0.0533611792522019,0.1492027804483748,0.8282638867845016,-0.0023872614157692,0.560081832042699,0.0167802338260582
1403636625767417856.00000,-0.0156735423776815,-0.050421046983199,0.1614367095169237,0.8254559417193685,-0.0020713021616036,0.5642174779921756,0.016638374791275
1403636625817325568.00000,-0.0060863278954711,-0.0498938383637214,0.1776388682238648,0.8224067609846527,-0.0015796731612532,0.5686799734405275,0.015738866767245
1403636625867311616.00000,0.0047082611101071,-0.0464151470769973,0.1972307187680192,0.81899666891022,-0.0014134588129487,0.5735963415131862,0.0151557068735153
1403636625917022976.00000,-0.0076974319715568,-0.0432085107013316,0.2063490923385765,0.8147877193527483,-0.0016242666129036,0.579609994485713,0.0130609510445917
1403636625966693632.00000,-0.0134028460104384,-0.0544249085182154,0.225847179455788,0.812582812394837,-0.0007113756497675,0.5827756195348563,0.0090135576187499
1403636626015989248.00000,-0.0107860647819194,-0.0516920583347255,0.2519192669592844,0.8112088542790941,-0.0008996146162806,0.5846955307233107,0.0083977249852518
1403636626065477376.00000,-0.0053323625640476,-0.0496702474871099,0.275443848334567,0.8105124081755124,-0.0030360235368436,0.5856952058224952,0.0046416194545164
1403636626115420672.00000,-0.0011994738005928,-0.0462928140828999,0.2964662015775983,0.810158981651852,-0.0059095721759164,0.5861803788560832,0.0002546559848861
1403636626165441536.00000,0.0034573050791218,-0.0447918206645077,0.3190986929973034,-0.8097400426242173,0.0086913032588784,-0.5867115576067453,0.0038823690267423
